,Assert,gcc_assert,gcc_checking_assert,ASSERT_ALWAYS,FFI_ASSERT,CHECK,_Static_assert,VERIFY,DEBUG,path
157,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-ssa-strength-reduction.c
158,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-ssa-warn-alloca.c
159,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,../gcc-11.2.0/gcc/gimple-ssa-warn-restrict.c
160,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-ssa.h
161,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-streamer-in.c
162,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-walk.c
163,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple.c
164,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple.h
165,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimplify-me.c
166,0.0,61.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimplify.c
167,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/godump.c
168,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/graphds.c
169,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/graphite-dependences.c
170,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/graphite-isl-ast-to-gimple.c
171,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/graphite-optimize-isl.c
172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,../gcc-11.2.0/gcc/graphite-poly.c
173,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,../gcc-11.2.0/gcc/graphite-scop-detection.c
174,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/graphite-sese-to-poly.c
175,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/graphite.c
176,0.0,88.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/haifa-sched.c
